OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
157,537b3fa4-14ef-49da-9205-646e72b55f68,Weston,157,Western Connecticut,Western CT,South Western,Fairfield,1,G,157,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,20.6574245,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,575895942.822754,99228.074990707
158,41db97c1-c2d2-438c-a041-8ee053ca17e4,Westport,158,Western Connecticut,Western CT,South Western,Fairfield,1,G,158,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Westport,20.24418118,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,564375380.203979,196182.641088366
159,77a720c1-4ae0-4826-a0d3-6a2a3ef142b9,Wethersfield,159,Capital,Capital Region,Capital Region,Hartford,3,H,159,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,13.17138366,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,367197101.926514,100603.561506886
160,35b80a67-5aa6-40ce-ba1a-cc089a9f41f8,Willington,160,Capital,Capital Region,Capital Region,Tolland,4,C,160,1,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,33.65965048,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,938377199.496704,150529.372185824
161,cb884344-4958-46e6-ac52-3f09d18f9c3b,Wilton,161,Western Connecticut,Western CT,South Western,Fairfield,1,G,161,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,27.34352422,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,762293705.220581,116765.577073232
162,c92b2e25-3a24-42e7-8f0b-105dad6dcdd6,Winchester,162,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,162,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,33.86590625,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,944127280.347412,124745.527972436
163,fe8285fd-e7b8-4cd7-941a-f6e44b6e0845,Windham,163,Southeastern Connecticut,Southeastern CT,Southeastern CT,Windham,4,K,163,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,27.76684416,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,774095187.684265,137582.218157782
164,a8369035-12db-475f-a938-daf39a88bb74,Windsor,164,Capital,Capital Region,Capital Region,Hartford,3,H,164,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,31.04326579,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,865436580.452576,143194.525448056
165,ad974a65-1003-4ef6-bb6d-09789276daa4,Windsor Locks,165,Capital,Capital Region,Capital Region,Hartford,3,H,165,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,9.33858603,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,260344836.505798,69140.8057622064
166,23a71224-9404-4391-943b-09f28aa81899,Wolcott,166,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,A,166,1,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,21.15564923,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,589785651.285095,96002.6430212177
167,330e4036-cf6a-492d-b922-522cee8ae17e,Woodbridge,167,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,167,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,19.19151226,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,535028655.047668,104433.183954241
168,3fafbff6-a6c6-45cf-ae09-5fc5b4a143c1,Woodbury,168,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,168,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,3,,36.741894,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1024305217.00781,132559.48558847
169,ae32fcec-75ac-4108-8546-172e407df9a8,Woodstock,169,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,169,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,61.46553867,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1713560872.28595,166696.464244207
